,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
2,Leap Year,2010,PG,100,Comedy,Anand Tucker,"Deborah Kaplan, Harry Elfont","Amy Adams, Matthew Goode, Adam Scott, John Lithgow","Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.","English, Ukrainian","USA, Ireland",,33.0,6.5,88715,1,25893485.0,Universal Pictures/Spyglass,1.0,small,0
4,Crazy on the Outside,2010,PG-13,96,Comedy,Tim Allen,"Judd Pillot, John Peaslee","Tim Allen, Sigourney Weaver, Ray Liotta, J.K. Simmons",A recently paroled ex-con who has trouble adjusting to the wacky normalcy of life outside of prison. He has spent the last three years behind bars after getting caught committing a crime and taking the rap for his much more dangerous pal.,"English, French, Cantonese",USA,,21.0,5.5,5353,1,64438.0,Freestlye Releasing,1.0,small,0
5,The Book of Eli,2010,R,118,Action,"Albert Hughes, Allen Hughes",Gary Whitta,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",English,USA,Other Win,53.0,6.9,279309,1,94800000.0,Warner Bros. Pictures,138.0,big,0
6,Tooth Fairy,2010,PG,101,Comedy,Michael Lembeck,"Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Joshua Sternin (screenplay), J.R. Ventimilia (screenplay), Randi Mayem Singer (screenplay), Jim Piddock (story)","Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler",A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.,English,"USA, Canada",Other Win,36.0,5.0,39301,1,58565813.0,20th Century Fox,133.0,big,0
8,Detention,2011,R,93,Comedy,Joseph Kahn,"Joseph Kahn, Mark Palermo","Alison Woods, Logan Stalarow, Julie Dolan, Shanley Caswell","As a copycat killer named after movie villain Cinderhella stalks the student body at Grizzly Lake High School, a group of co-eds band together to survive while serving detention.",English,USA,Nomination,45.0,5.7,14420,1,0.0,IDP Distribution,1.0,small,0
9,The Spy Next Door,2010,PG,94,Action,Brian Levant,"Jonathan Bernstein (screenplay), James Greer (screenplay), Gregory Poirier (screenplay), Jonathan Bernstein (story), James Greer (story)","Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley","Former C.I.A. spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau.","English, Chinese, Russian",USA,Nomination,27.0,5.4,37933,1,24268828.0,Lionsgate,58.0,big,0
14,Happythankyoumoreplease,2010,R,100,Comedy,Josh Radnor,Josh Radnor (screenplay),"Malin Akerman, Michael Algieri, Bram Barouh, Dana Barron","Captures a generational moment - young people on the cusp of truly growing up, tiring of their reflexive cynicism, each in their own ways struggling to connect and define what it means to love and be loved.",English,USA,Other Win,45.0,6.8,28574,1,215576.0,Hannover House,2.0,small,0
15,Legion,2010,R,100,Action,Scott Stewart,"Peter Schink, Scott Stewart","Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",English,USA,,32.0,5.2,95061,1,40168080.0,Screen Gems,12.0,small,0
16,Howl,2010,R,84,Biography,"Rob Epstein, Jeffrey Friedman","Rob Epstein (written for the screen by), Jeffrey Friedman (written for the screen by), Allen Ginsberg (poem)","James Franco, Todd Rotondi, Jon Prescott, Aaron Tveit","As Allen Ginsberg talks about his life and art, his most famous poem is illustrated in animation while the obscenity trial of the work is dramatized.",English,USA,Other Win,63.0,6.7,12254,1,617334.0,Oscilloscope Pictures,15.0,small,1
17,Winter's Bone,2010,R,100,Drama,Debra Granik,"Debra Granik (screenplay), Anne Rosellini (screenplay), Daniel Woodrell (novel)","Jennifer Lawrence, Isaiah Stone, Ashlee Thompson, Valerie Richards",An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,English,USA,Oscar Win,90.0,7.2,130245,1,6200000.0,Roadside Attractions,39.0,big,1
