,Year,Rated,Runtime,Genre,Awards,imdbRating,imdbVotes,DVD,studio_size,meta_class
2,2010,PG,100,Comedy,,6.5,88715,1,small,0
4,2010,PG-13,96,Comedy,,5.5,5353,1,small,0
5,2010,R,118,Action,Other Win,6.9,279309,1,big,0
6,2010,PG,101,Comedy,Other Win,5.0,39301,1,big,0
8,2011,R,93,Comedy,Nomination,5.7,14420,1,small,0
9,2010,PG,94,Action,Nomination,5.4,37933,1,big,0
14,2010,R,100,Comedy,Other Win,6.8,28574,1,small,0
15,2010,R,100,Action,,5.2,95061,1,small,0
16,2010,R,84,Biography,Other Win,6.7,12254,1,small,1
17,2010,R,100,Drama,Oscar Win,7.2,130245,1,big,1
19,2010,R,87,Comedy,Other Win,6.6,10740,1,big,1
20,2010,R,104,Drama,Other Win,6.7,41878,1,big,1
21,2010,PG,106,Drama,Other Win,6.4,15854,1,small,0
22,2010,R,106,Comedy,Other Win,7.0,49249,1,small,0
24,2010,Not Rated,81,Comedy,Nomination,6.2,145,0,small,0
27,2010,R,90,Drama,Other Win,6.2,1403,1,small,1
29,2010,R,110,Drama,Other Win,7.0,22565,1,small,0
30,2013,Not Rated,82,Thriller,,4.4,728,1,small,0
31,2010,R,96,Drama,Other Win,5.8,1754,1,small,0
32,2010,R,89,Drama,Other Win,6.4,7763,1,small,1
33,2010,R,91,Comedy,Nomination,6.3,33002,1,small,1
35,2010,R,98,Horror,Other Win,4.7,5521,1,small,0
38,2010,R,109,Crime,Other Win,6.1,32207,1,big,0
39,2010,PG-13,108,Drama,Other Win,6.3,132050,1,small,0
40,2010,R,106,Biography,Nomination,6.5,44509,1,small,1
41,2010,R,112,Drama,Oscar Win,7.4,174706,1,small,1
42,2010,R,99,Comedy,,5.8,7100,1,small,0
43,2010,Not Rated,83,Drama,Other Win,6.0,517,1,small,0
44,2010,R,88,Drama,Other Win,5.0,614,1,small,1
45,2010,R,92,Drama,Other Win,5.6,457,1,small,0
46,2013,PG,102,Animation,Oscar Win,7.5,540929,1,big,1
47,2010,PG-13,95,Comedy,,5.1,11244,1,small,0
48,2010,Not Rated,93,Comedy,Nomination,6.4,146,0,big,1
49,2010,R,78,Comedy,,5.1,1548,1,small,0
50,2010,R,106,Comedy,Oscar Win,7.0,122109,1,big,1
51,2010,R,89,Biography,Other Win,5.9,4727,1,small,0
52,2010,R,100,Crime,,5.2,1456,0,small,0
53,2010,PG-13,96,Drama,Nomination,5.7,2076,1,small,0
54,2010,R,108,Comedy,,5.8,4643,1,big,0
59,2010,R,103,Drama,Oscar Win,5.8,99569,1,big,0
60,2010,R,117,Crime,Nomination,6.6,86520,1,big,0
61,2010,PG-13,91,Comedy,Nomination,5.6,58252,1,big,0
65,2010,R,93,Action,Nomination,5.7,11648,1,small,0
72,2010,R,92,Crime,,5.8,2440,1,small,0
74,2010,R,93,Comedy,Other Win,6.8,23830,1,big,0
76,2010,Not Rated,90,Drama,Other Win,6.0,206,0,big,1
82,2010,R,107,Crime,,5.8,138,1,small,0
86,2010,PG-13,125,Comedy,Other Win,5.7,108785,1,small,0
93,2010,PG-13,95,Comedy,Other Win,6.0,19352,1,small,0
94,2010,PG-13,165,Drama,Other Win,8.0,92724,1,small,0
99,2010,R,138,Mystery,Other Win,8.1,1045727,1,small,1
101,2010,R,107,Comedy,Other Win,6.1,34528,1,big,1
103,2010,R,97,Action,Nomination,6.4,75383,1,big,1
104,2010,PG-13,93,Comedy,,5.8,8034,1,small,0
110,2010,Not Rated,85,Drama,Other Win,5.9,645,1,small,1
112,2010,PG-13,128,Drama,Other Win,6.6,495,1,small,0
113,2010,R,107,Action,Nomination,5.6,82774,1,big,0
115,2010,R,101,Horror,Nomination,6.5,106461,1,small,0
118,2010,PG,108,Adventure,Oscar Win,6.4,367385,1,big,0
119,2010,R,115,Action,Nomination,6.8,124694,1,big,1
122,2010,Not Rated,101,Comedy,Other Win,6.0,279,0,small,0
125,2010,PG-13,113,Drama,Other Win,7.1,131617,1,big,0
130,2010,Not Rated,96,Comedy,Other Win,6.3,3458,1,big,1
131,2010,R,104,Comedy,Nomination,6.4,120003,1,small,0
132,2010,PG-13,110,Action,Other Win,5.6,115998,1,big,0
133,2010,R,117,Action,Other Win,7.6,507917,1,big,1
135,2010,PG-13,103,Comedy,Nomination,5.0,6523,1,small,0
137,2010,Not Rated,93,Drama,Nomination,5.9,206,1,small,0
142,2010,R,95,Comedy,Nomination,5.9,3861,1,big,0
143,2010,R,91,Crime,Other Win,6.1,39121,1,small,0
147,2010,Not Rated,96,Comedy,Nomination,6.2,2119,1,big,1
150,2010,R,100,Comedy,Nomination,5.1,6666,1,small,0
151,2010,Not Rated,89,Comedy,Nomination,4.7,339,1,small,0
153,2010,Not Rated,85,Comedy,Other Win,6.2,220,1,small,0
154,2010,R,90,Action,Nomination,5.5,40828,1,small,0
155,2010,Not Rated,98,Comedy,Other Win,6.2,13542,1,small,1
157,2010,R,101,Comedy,Nomination,6.4,156889,1,small,1
158,2017,R,93,Mystery,Other Win,6.1,11071,1,small,0
159,2010,PG,98,Animation,Oscar Win,8.1,630443,1,small,1
160,2010,PG,94,Comedy,Other Win,6.2,39950,1,big,0
162,2010,R,111,Action,Nomination,6.3,97673,1,small,0
165,2010,PG,118,Comedy,,7.0,3135,1,small,0
167,2010,PG-13,121,Comedy,Other Win,4.6,8792,1,big,0
170,2010,PG,109,Comedy,Other Win,6.1,25989,1,small,0
171,2010,PG-13,106,Action,Other Win,5.8,261625,1,small,0
173,2010,R,112,Horror,,6.1,31032,1,small,0
182,2010,PG-13,100,Drama,Other Win,6.3,499,1,big,0
183,2010,PG,107,Drama,Other Win,6.0,76967,1,small,0
186,2010,PG,92,Comedy,Other Win,3.8,15005,1,small,0
191,2010,PG-13,88,Comedy,Other Win,6.3,147258,1,big,0
193,2010,R,97,Drama,,4.9,585,1,small,0
197,2010,PG,110,Drama,Nomination,6.3,4509,1,small,0
209,2010,Not Rated,82,Drama,Other Win,6.3,100,1,small,0
212,2010,R,92,Comedy,Other Win,3.5,307,1,big,0
213,2010,PG-13,95,Drama,Nomination,5.7,485,1,small,0
219,2010,PG,93,Animation,Other Win,6.3,172839,1,small,0
220,2010,PG-13,97,Action,Other Win,6.3,86994,1,big,0
221,2010,Not Rated,97,Drama,Other Win,5.8,685,1,big,0
222,2010,TV-14,94,Comedy,,6.4,1485,1,small,0
225,2010,PG-13,104,Drama,Other Win,5.5,1921,1,small,0
226,2010,PG-13,104,Comedy,Nomination,5.3,46824,1,small,0
227,2010,R,105,Comedy,,5.3,2565,1,small,0
228,2010,R,106,Biography,,5.5,1810,1,small,0
231,2010,Not Rated,83,Drama,Other Win,6.3,432,1,small,1
234,2018,PG-13,97,Drama,Nomination,6.4,15388,1,small,0
236,2010,PG,86,Comedy,Other Win,6.1,582,1,small,0
240,2010,TV-14,86,Comedy,Other Win,6.9,939,1,big,0
241,2010,Not Rated,96,Drama,Other Win,5.0,693,1,small,0
242,2010,PG,105,Adventure,Nomination,6.5,87763,1,big,0
245,2010,PG-13,124,Action,Oscar Win,7.0,682703,1,small,0
249,2010,Not Rated,95,Drama,Nomination,6.9,576,1,big,1
252,2010,R,98,Comedy,Nomination,5.8,2139,1,small,0
255,2010,Not Rated,88,Drama,Other Win,4.9,584,1,small,0
256,2010,R,108,Horror,Nomination,6.3,71615,1,small,0
259,2014,Not Rated,92,Action,Nomination,5.0,22392,1,small,0
262,2010,PG,100,Comedy,Other Win,5.9,12818,1,big,0
267,2010,PG-13,116,Action,Other Win,6.6,261217,1,big,0
271,2010,PG-13,140,Action,Other Win,6.6,244399,1,small,0
275,2010,PG-13,133,Drama,Other Win,6.2,94850,1,big,0
276,2010,R,98,Comedy,Other Win,6.3,42339,1,big,0
277,2010,Not Rated,95,Drama,Other Win,5.6,265,0,big,0
278,2010,Not Rated,86,Comedy,Other Win,5.7,12038,1,big,1
280,2010,Not Rated,78,Drama,Other Win,6.2,203,0,small,0
282,2010,PG-13,108,Biography,Other Win,6.8,44687,1,big,1
286,2010,R,109,Comedy,Other Win,5.6,3021,1,small,0
290,2010,R,109,Comedy,Nomination,6.4,163550,1,big,1
292,2010,R,146,Comedy,Other Win,4.5,71008,1,big,0
293,2010,PG,87,Comedy,Nomination,4.2,13650,1,big,0
295,2018,R,86,Action,,5.2,8771,1,small,0
298,2010,PG-13,100,Action,Other Win,5.4,83982,1,big,0
303,2010,PG-13,117,Action,Other Win,6.7,239339,1,big,0
306,2010,R,98,Comedy,,2.5,345,1,small,0
315,2016,R,118,Drama,Other Win,6.1,5301,1,big,1
317,2010,Not Rated,104,Comedy,,6.0,1284,1,small,0
318,2010,G,103,Animation,Oscar Win,8.3,711050,1,big,1
322,2010,PG-13,109,Action,Nomination,6.3,173244,1,big,0
323,2010,PG-13,81,Action,Other Win,4.7,53224,1,big,0
325,2010,R,100,Action,,6.6,785,0,small,0
328,2010,Not Rated,98,Crime,Other Win,6.0,2092,1,small,0
330,2010,PG,95,Animation,Other Win,7.6,478028,1,big,1
336,2010,PG-13,87,Horror,Other Win,5.6,46643,1,big,1
337,2010,PG-13,102,Comedy,Other Win,5.9,216150,1,big,0
347,2010,PG,103,Action,Other Win,4.1,141088,1,big,0
348,2010,R,117,Biography,Other Win,5.6,2796,1,small,0
351,2010,Not Rated,93,Comedy,Other Win,6.5,272,1,small,0
352,2010,PG-13,124,Action,Other Win,5.0,216767,1,big,0
353,2010,Not Rated,90,Drama,Other Win,6.5,116,0,small,0
359,2010,PG,109,Action,Other Win,6.1,147058,1,small,0
360,2010,R,107,Action,Other Win,6.4,203733,1,big,0
367,2010,R,124,Drama,Other Win,5.8,524,0,small,1
375,2010,PG,105,Musical,,3.2,670,1,small,0
378,2010,PG-13,100,Action,Oscar Win,6.4,283071,1,big,1
381,2010,G,103,Comedy,Other Win,6.5,16489,1,big,0
382,2010,PG,90,Comedy,Other Win,7.7,76928,1,big,0
383,2010,PG-13,112,Action,Other Win,7.5,351334,1,big,1
386,2019,PG,110,Comedy,Other Win,2.8,20921,0,small,0
387,2010,PG-13,114,Comedy,Nomination,5.9,94344,1,small,0
389,2010,PG-13,99,Drama,Nomination,6.4,56165,1,big,0
394,2010,PG-13,107,Action,Other Win,6.6,228038,1,small,1
395,2010,R,103,Action,Other Win,6.5,314149,1,big,0
396,2010,PG-13,107,Action,Other Win,6.2,54773,1,small,0
397,2010,PG-13,107,Drama,Nomination,6.2,53854,1,small,0
