,0
0,Vidas Em Paralelo
1,Hellweek
2,Leap Year
3,The Bannen Way
4,Crazy on the Outside
5,The Book of Eli
6,Tooth Fairy
7,Friendship!
8,Detention
9,The Spy Next Door
10,Porkchop
11,Let the Game Begin
12,Growth
13,No Greater Love
14,Happythankyoumoreplease
15,Legion
16,Howl
17,Winter's Bone
18,@urFRENZ
19,Please Give
20,The Company Men
21,Extraordinary Measures
22,Hesher
23,Obselidia
24,Douchebag
25,Armless
26,The Locksmith
27,Night Catches Us
28,Jelly
29,Welcome to the Rileys
30,Drones
31,Sympathy for Delicious
32,Jack Goes Boating
33,Cyrus
34,Big Money Rustlas
35,YellowBrickRoad
36,Bass Ackwards
37,Re-Generator
38,The Killer Inside Me
39,Dear John
40,The Runaways
41,Blue Valentine
42,High School
43,The Taqwacores
44,3 Backyards
45,The Dry Land
46,Frozen
47,The Romantics
48,Lovers of Hate
49,The Freebie
50,The Kids Are All Right
51,Holy Rollers
52,As Good as Dead
53,Skateland
54,The Extra Man
55,The Violent Kind
56,Bulletface
57,All My Friends Are Funeral Singers
58,Oddsac
59,The Wolfman
60,Edge of Darkness
61,When in Rome
62,Machete Joe
63,Preacher's Kid
64,The Final
65,Twelve
66,Sure Looks Good
67,Red White &amp; Blue
68,Late Autumn
69,Everyday Black Man
70,The Four-Faced Liar
71,One Too Many Mornings
72,The Killing Jar
73,Shoot the Hero
74,The Perfect Host
75,Biophage
76,The Imperialists Are Still Alive!
77,A Very Mary Christmas
78,New Low
79,Is It Just Me?
80,Perfect Life
81,When Soldiers Cry
82,Cost of a Soul
83,Fast Lane
84,Flying Lessons
85,The Sentimental Engine Slayer
86,Valentine's Day
87,The Cursed
88,Bloodworth
89,Caller ID: Entity
90,Shadows in Paradise
91,Ice Castles
92,Percy Jackson &amp; the Olympians: The Lightning Thief
93,Waiting for Forever
94,My Name Is Khan
95,Chuen sing yit luen - yit lat lat
96,Harlem Hostel
97,Order of Chaos
98,You're So Cupid!
99,Shutter Island
100,Open
101,Greenberg
102,Yi ye Taibei
103,Centurion
104,Father of Invention
105,President's Day
106,Freeway Killer
107,Attack of the Vegan Zombies!
108,Birds of Paradise
109,Slime City Massacre
110,Putty Hill
111,Dreamkiller
112,Blood Done Sign My Name
113,Cop Out
114,Rising Stars
115,The Crazies
116,Cinematic Titanic: The Alien Factor
117,World's End
118,Alice in Wonderland
119,Green Zone
120,2001 Maniacs: Field of Screams
121,Birdemic: Shock and Terror
122,Gabi on the Roof in July
123,Defcon 2012
124,Ca$h
125,Remember Me
126,The Penthouse
127,Followed Home
128,Dark Woods
129,Good Intentions
130,The Myth of the American Sleepover
131,She's Out of My League
132,The Bounty Hunter
133,Kick-Ass
134,Closed for the Season
135,Our Family Wedding
136,Cherry
137,Some Days Are Better Than Others
138,What Would Jesus Do?
139,Suicide Girls Must Die!
140,Gone with the Pope
141,Paranormal Calamity
142,Barry Munday
143,13
144,Mars
145,Brotherhood
146,Beneath the Dark
147,Cold Weather
148,The Waiter
149,Ghosts Don't Exist
150,Elektra Luxx
151,Helena from the Wedding
152,Earthling
153,The Happy Poet
154,MacGruber
155,Tiny Furniture
156,Unrivaled
157,Hot Tub Time Machine
158,Black Butterfly
159,How to Train Your Dragon
160,Diary of a Wimpy Kid
161,The Drawn Together Movie: The Movie!
162,Repo Men
163,Harvest
164,Tekken
165,The Perfect Game
166,Nonames
167,Why Did I Get Married Too?
168,Locked Away
169,New Terminal Hotel
170,Nanny McPhee Returns
171,Clash of the Titans
172,10 Years Later
173,6 Souls
174,Memoirs of a Teenage Amnesiac
175,The Rock 'n' Roll Dreams of Duncan Christopher
176,What If...
177,The Penitent Man
178,House Broken
179,Westbrick Murders
180,Krews
181,Mob Rules
182,"Lebanon, Pa."
183,The Last Song
184,Desert Son
185,Bones
186,Furry Vengeance
187,The Terror Experiment
188,The Trouble with Terkel
189,Holyman Undercover
190,Junkyard Dog
191,Date Night
192,My Own Love Song
193,Multiple Sarcasms
194,The 5th Quarter
195,Les aventures extraordinaires d'Adèle Blanc-Sec
196,The River Why
197,Letters to God
198,Death at a Funeral
199,The New Year
200,Deadly Closure
201,Psychic Experiment
202,A Numbers Game
203,The Scientist
204,Feed the Fish
205,I Was a 7th Grade Dragon Slayer
206,Godkiller: Walk Among Us
207,Pastor Shepherd
208,Loving the Bad Man
209,"Fanny, Annie &amp; Danny"
210,Don't Go in the Woods
211,Pickin' &amp; Grinnin'
212,Immigration Tango
213,Redemption Road
214,Re-Cut
215,Pig
216,Neowolf
217,Deadly Impact
218,Peacock
219,Shrek Forever After
220,The Losers
221,5 Star Day
222,Beware the Gonzo
223,Meskada
224,Hunted by Night
225,In My Sleep
226,The Back-up Plan
227,Burning Palms
228,The Chameleon
229,Below the Beltway
230,The Space Between
231,Littlerock
232,Nice Guy Johnny
233,Once Fallen
234,Every Day
235,Dahmer vs. Gacy
236,Snowmen
237,Violet Tendencies
238,My Girlfriend's Boyfriend
239,Open House
240,Spork
241,Monogamy
242,Letters to Juliet
243,Shadows &amp; Lies
244,Eyes in the Dark
245,Iron Man 2
246,Gutter King
247,Morning
248,A Nightmare on Elm Street
249,Anton Chekhov's The Duel
250,Repo
251,See You in September
252,Meet Monica Velour
253,Elle: A Modern Cinderella Tale
254,Cartel War
255,Happiness Runs
256,I Spit on Your Grave
257,Hunter Prey
258,All About Evil
259,Rage
260,The Man Who Collected Food
261,Endure
262,Just Wright
263,Perfect Combination
264,God of Vampires
265,Klown Kamp Massacre
266,Psych:9
267,Prince of Persia: The Sands of Time
268,Hitler's Grave
269,Eagles in the Chicken Coop
270,Kung Fu Magoo
271,Robin Hood
272,Enemies Among Us
273,The Dead Undead
274,Soldiers
275,Wall Street: Money Never Sleeps
276,You Will Meet a Tall Dark Stranger
277,Shit Year
278,Kaboom
279,Megaman
280,Two Gates of Sleep
281,Anderson's Cross
282,Fair Game
283,Blood Junkie
284,Red Dirt Rising
285,The Devil Within
286,A Little Help
287,Angel Camouflaged
288,Costa Rican Summer
289,White Wall
290,Get Him to the Greek
291,Unthinkable
292,Sex and the City 2
293,Marmaduke
294,Trap
295,Acts of Violence
296,Beneath the Blue
297,Small Town Saturday Night
298,Killers
299,In the Drink
300,Freak Dance
301,AniMen: Triton Force
302,The Truth
303,The A-Team
304,Magic Man
305,Role/Play
306,Speed-Dating
307,Bear
308,Consent
309,The Karate Kid
310,Last Breath
311,Nic &amp; Tristan Go Mega Dega
312,Shanghai
313,Miss Nobody
314,I Kissed a Vampire
315,Norman
316,Jordan
317,BearCity
318,Toy Story 3
319,Arcadia Lost
320,Ticked-Off Trannies with Knives
321,Cinematic Titanic: Danger on Tiki Island
322,Knight and Day
323,Jonah Hex
324,Birth of Separation
325,The Alien Girl
326,Bitter Feast
327,Guilt &amp; Sentence
328,A Marine Story
